Name,Locations,Employees,Revenue (M)
Blimpie,156,1000,63
Schlotzsky's,330,,
Subway,37540,410000,16100
Quiznos,500,,170
Firehouse Subs,1200,2000,695
Jersey Mikes,1973,,1000
Which Wich,431,,227.9
Jimmy Johns,2755,45000,3125.4
Potbelly Sandwich,474,6000,409.7
Jason's Deli,300,,500
